,Name,Price,Sale
135,"CHOCOLATE LEIBNIZ MILK LECHE, 4.4 OZ",$3.89 / ea,NoSale
136,"GRANULATED SUGAR CANISTER, 16 OZ",$1.99 / ea,NoSale
137,"PEPPERMINT, 20 BG",$4.29 / ea,NoSale
138,"JALEPENO POTATO CHIPS, 5OZ",$3.00 / ea,NoSale
139,"COOL RANCH, 9 3/4 OZ",$4.29 / ea,NoSale
140,"CHICKEN NOODLE SOUP, 19 OZ",$3.79 / ea,NoSale
141,"IODIZED SLT, 26 OZ",$1.49 / ea,NoSale
142,"SAUCE - SRIRACHA HOT CHILI, 17 OZ",$3.99 / ea,NoSale
143,"CRACKERS SUPER SEED, 5.5 OZ",$4.99 / ea,NoSale
144,"POTATO CHIPS - BACKYARD BBQ, 5 OZ",$3.00 / ea,NoSale
145,"DIJON MUSTARD JAR, 8 OZ",$4.29 / ea,NoSale
146,"CRACKERS MULTIGRAIN FLATBREAD, 5.5 OZ",$3.99 / ea,NoSale
147,"INSTANT LUNCH RAMEN NOODLES, 3 OZ",$0.49 / ea,OnSale Save $0.30 / ea
148,"BALOCCO VANILLA WAFER, 6.17 OZ",$2.00 / ea,NoSale
149,"KETCHUP, 14 OZ",$3.19 / ea,NoSale
150,"CURRANTS, 22.58 OZ",$7.89 / ea,NoSale
151,"ALL PURPOSE FLOUR, 32 OZ",$2.59 / ea,NoSale
152,"ROASTED TURKEY GRAVY, 12 OZ",$2.99 / ea,NoSale
153,"SEMISWEET BAKING CHOCOLATE BAR, 4 OZ",$3.89 / ea,NoSale
154,"CREAMY PEANUT BUTTER, 16.3 OZ",$4.69 / ea,NoSale
155,"TOMATOES CRUSHED, 28 OZ",$2.99 / ea,NoSale
156,"BAKING SODA, 16 OZ",$1.29 / ea,NoSale
157,"CORN FLAKES, 12 OZ",$5.19 / ea,NoSale
158,"TUTROSO TOMATO PASTE, 6 OZ",$1.39 / ea,NoSale
159,"THIN CAKES PUFFED MULTIGRAIN, 4.9 OZ",$2.50 / ea,NoSale
160,"GOLDFISH EXTRA CHEDDAR, 6.6 OZ",$2.49 / ea,NoSale
161,"THIN SPAGHETTI, 16 OZ",$2.49 / ea,NoSale
162,"MEDIUM MEXICAN SALSA, 16 OZ",$3.99 / ea,NoSale
163,"SPLIT GREEN PEAS, 16 OZ",$1.39 / ea,NoSale
164,"FETTUCCINE, 16 OZ",$2.49 / ea,NoSale
